Race,Precinct,PrecinctCode,Name,Party,Votes
United States President and Vice President,101 - Astoria West,101.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,34.0
United States President and Vice President,101 - Astoria West,101.0,Cornel West,Progressive Party,7.0
United States President and Vice President,101 - Astoria West,101.0,Oliver/Mike LBT Chase Maat ter,,14.0
United States President and Vice President,101 - Astoria West,101.0,Randall Terry,Constitution Party,5.0
United States President and Vice President,101 - Astoria West,101.0,Trump/JD Donald Vance J,Republican Party,661.0
United States President and Vice President,101 - Astoria West,101.0,Stein/Rudolph PGP Ware Jill,,27.0
United States President and Vice President,101 - Astoria West,101.0,D DEM Harris/Tim Kamala Walz,,1944.0
United States President and Vice President,101 - Astoria West,101.0,Write-in Totals,,15.0
United States President and Vice President,102 - Astoria East,102.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,33.0
United States President and Vice President,102 - Astoria East,102.0,Cornel West,Progressive Party,5.0
United States President and Vice President,102 - Astoria East,102.0,Oliver/Mike LBT Chase Maat ter,,11.0
United States President and Vice President,102 - Astoria East,102.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,102 - Astoria East,102.0,Trump/JD Donald Vance J,Republican Party,494.0
United States President and Vice President,102 - Astoria East,102.0,Stein/Rudolph PGP Ware Jill,,26.0
United States President and Vice President,102 - Astoria East,102.0,D DEM Harris/Tim Kamala Walz,,1227.0
United States President and Vice President,102 - Astoria East,102.0,Write-in Totals,,11.0
United States President and Vice President,103 - John Day/Walluski,103.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,16.0
United States President and Vice President,103 - John Day/Walluski,103.0,Cornel West,Progressive Party,0.0
United States President and Vice President,103 - John Day/Walluski,103.0,Oliver/Mike LBT Chase Maat ter,,4.0
United States President and Vice President,103 - John Day/Walluski,103.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,103 - John Day/Walluski,103.0,Trump/JD Donald Vance J,Republican Party,352.0
United States President and Vice President,103 - John Day/Walluski,103.0,Stein/Rudolph PGP Ware Jill,,5.0
United States President and Vice President,103 - John Day/Walluski,103.0,D DEM Harris/Tim Kamala Walz,,343.0
United States President and Vice President,103 - John Day/Walluski,103.0,Write-in Totals,,6.0
United States President and Vice President,104 - Astoria South,104.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,23.0
United States President and Vice President,104 - Astoria South,104.0,Cornel West,Progressive Party,0.0
United States President and Vice President,104 - Astoria South,104.0,Oliver/Mike LBT Chase Maat ter,,3.0
United States President and Vice President,104 - Astoria South,104.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,104 - Astoria South,104.0,Trump/JD Donald Vance J,Republican Party,258.0
United States President and Vice President,104 - Astoria South,104.0,Stein/Rudolph PGP Ware Jill,,11.0
United States President and Vice President,104 - Astoria South,104.0,D DEM Harris/Tim Kamala Walz,,661.0
United States President and Vice President,104 - Astoria South,104.0,Write-in Totals,,4.0
United States President and Vice President,105 - Svensen,105.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,13.0
United States President and Vice President,105 - Svensen,105.0,Cornel West,Progressive Party,0.0
United States President and Vice President,105 - Svensen,105.0,Oliver/Mike LBT Chase Maat ter,,1.0
United States President and Vice President,105 - Svensen,105.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,105 - Svensen,105.0,Trump/JD Donald Vance J,Republican Party,630.0
United States President and Vice President,105 - Svensen,105.0,Stein/Rudolph PGP Ware Jill,,5.0
United States President and Vice President,105 - Svensen,105.0,D DEM Harris/Tim Kamala Walz,,381.0
United States President and Vice President,105 - Svensen,105.0,Write-in Totals,,3.0
United States President and Vice President,106 - Knappa,106.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,24.0
United States President and Vice President,106 - Knappa,106.0,Cornel West,Progressive Party,2.0
United States President and Vice President,106 - Knappa,106.0,Oliver/Mike LBT Chase Maat ter,,0.0
United States President and Vice President,106 - Knappa,106.0,Randall Terry,Constitution Party,2.0
United States President and Vice President,106 - Knappa,106.0,Trump/JD Donald Vance J,Republican Party,629.0
United States President and Vice President,106 - Knappa,106.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,106 - Knappa,106.0,D DEM Harris/Tim Kamala Walz,,461.0
United States President and Vice President,106 - Knappa,106.0,Write-in Totals,,7.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,4.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Cornel West,Progressive Party,0.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Oliver/Mike LBT Chase Maat ter,,1.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Trump/JD Donald Vance J,Republican Party,234.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Stein/Rudolph PGP Ware Jill,,2.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,D DEM Harris/Tim Kamala Walz,,109.0
United States President and Vice President,107 - Westport/Hillcrest,107.0,Write-in Totals,,0.0
United States President and Vice President,108 - Jewell,108.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,6.0
United States President and Vice President,108 - Jewell,108.0,Cornel West,Progressive Party,1.0
United States President and Vice President,108 - Jewell,108.0,Oliver/Mike LBT Chase Maat ter,,1.0
United States President and Vice President,108 - Jewell,108.0,Randall Terry,Constitution Party,0.0
United States President and Vice President,108 - Jewell,108.0,Trump/JD Donald Vance J,Republican Party,214.0
United States President and Vice President,108 - Jewell,108.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,108 - Jewell,108.0,D DEM Harris/Tim Kamala Walz,,150.0
United States President and Vice President,108 - Jewell,108.0,Write-in Totals,,2.0
United States President and Vice President,109 - Olney,109.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,4.0
United States President and Vice President,109 - Olney,109.0,Cornel West,Progressive Party,0.0
United States President and Vice President,109 - Olney,109.0,Oliver/Mike LBT Chase Maat ter,,2.0
United States President and Vice President,109 - Olney,109.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,109 - Olney,109.0,Trump/JD Donald Vance J,Republican Party,298.0
United States President and Vice President,109 - Olney,109.0,Stein/Rudolph PGP Ware Jill,,4.0
United States President and Vice President,109 - Olney,109.0,D DEM Harris/Tim Kamala Walz,,137.0
United States President and Vice President,109 - Olney,109.0,Write-in Totals,,0.0
United States President and Vice President,110 - Stanley Acres,110.0,Shanahan Jr/Nicole Kennedy Robert F,We the People,2.0
United States President and Vice President,110 - Stanley Acres,110.0,Cornel West,Progressive Party,1.0
United States President and Vice President,110 - Stanley Acres,110.0,Oliver/Mike LBT Chase Maat ter,,0.0
United States President and Vice President,110 - Stanley Acres,110.0,Randall Terry,Constitution Party,1.0
United States President and Vice President,110 - Stanley Acres,110.0,Trump/JD Donald Vance J,Republican Party,113.0
United States President and Vice President,110 - Stanley Acres,110.0,Stein/Rudolph PGP Ware Jill,,3.0
United States President and Vice President,110 - Stanley Acres,110.0,D DEM Harris/Tim Kamala Walz,,83.0
United States President and Vice President,110 - Stanley Acres,110.0,Write-in Totals,,2.0
